Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00,1.00E+01,1.10E+01
r_U,4.98E+00,3.93E+00,3.25E+00,1.97E+00,4.63E-01,2.49E-02,4.51E-04,1.71E-05,0.00E+00,0.00E+00,0.00E+00
r_O,4.98E+00,4.57E+00,4.61E+00,4.83E+00,2.44E+00,1.88E-01,3.00E-03,1.16E-04,0.00E+00,0.00E+00,0.00E+00
r_T,4.98E+00,4.14E+00,3.73E+00,3.02E+00,1.27E+00,9.49E-02,1.52E-03,6.06E-05,0.00E+00,0.00E+00,0.00E+00
SD r_U,1.91E+00,7.24E-01,3.56E-01,4.36E-01,2.93E-01,5.80E-02,9.91E-03,7.07E-04,0.00E+00,0.00E+00,0.00E+00
SD r_O,1.91E+00,8.06E-01,4.50E-01,2.80E-01,9.08E-01,3.00E-01,5.30E-02,5.30E-03,0.00E+00,0.00E+00,0.00E+00
SD r_T,1.91E+00,7.44E-01,3.65E-01,3.27E-01,5.14E-01,1.57E-01,2.76E-02,2.57E-03,0.00E+00,0.00E+00,0.00E+00
