Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00
r_U,7.00E+00,5.17E+00,3.76E+00,1.16E+00,5.10E-02,5.59E-05,0.00E+00,0.00E+00,0.00E+00
r_O,7.00E+00,6.03E+00,5.83E+00,4.23E+00,3.90E-01,4.31E-04,0.00E+00,0.00E+00,0.00E+00
r_T,7.00E+00,5.65E+00,4.93E+00,3.05E+00,2.73E-01,2.95E-04,0.00E+00,0.00E+00,0.00E+00
SD r_U,2.03E+00,7.08E-01,3.80E-01,4.09E-01,5.52E-02,5.54E-04,0.00E+00,0.00E+00,0.00E+00
SD r_O,2.03E+00,7.15E-01,3.46E-01,6.54E-01,3.63E-01,4.54E-03,0.00E+00,0.00E+00,0.00E+00
SD r_T,2.03E+00,7.07E-01,3.13E-01,5.21E-01,2.56E-01,3.17E-03,0.00E+00,0.00E+00,0.00E+00
