Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00
r_U,6.83E+00,9.60E+00,4.48E+00,5.22E-01,1.02E-02,5.33E-05,0.00E+00,0.00E+00,0.00E+00
r_O,6.83E+00,1.12E+01,9.70E+00,2.34E+00,5.54E-02,2.94E-04,0.00E+00,0.00E+00,0.00E+00
r_T,6.83E+00,1.05E+01,7.62E+00,1.68E+00,3.93E-02,2.01E-04,0.00E+00,0.00E+00,0.00E+00
SD r_U,6.19E+00,4.10E+00,1.79E+00,5.45E-01,4.34E-02,1.00E-03,0.00E+00,0.00E+00,0.00E+00
SD r_O,6.19E+00,4.92E+00,2.07E+00,1.75E+00,2.02E-01,5.56E-03,0.00E+00,0.00E+00,0.00E+00
SD r_T,6.19E+00,4.52E+00,1.85E+00,1.28E+00,1.44E-01,3.83E-03,0.00E+00,0.00E+00,0.00E+00
