Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00,1.00E+01,1.10E+01,1.20E+01,1.30E+01,1.40E+01,1.50E+01,1.60E+01
r_U,2.90E+00,3.94E+00,3.64E+00,2.48E+00,1.02E+00,2.91E-01,6.54E-02,1.37E-02,3.81E-03,2.37E-03,7.50E-04,4.39E-04,2.08E-06,0.00E+00,0.00E+00,0.00E+00
r_O,2.90E+00,4.37E+00,5.61E+00,6.01E+00,3.65E+00,1.28E+00,3.06E-01,5.90E-02,1.08E-02,3.32E-03,8.57E-04,4.48E-04,2.08E-06,0.00E+00,0.00E+00,0.00E+00
r_T,2.90E+00,4.01E+00,4.02E+00,3.19E+00,1.57E+00,4.98E-01,1.16E-01,2.31E-02,5.24E-03,2.57E-03,7.72E-04,4.39E-04,2.08E-06,0.00E+00,0.00E+00,0.00E+00
SD r_U,2.95E+00,2.53E+00,1.41E+00,1.29E+00,9.11E-01,4.80E-01,2.12E-01,7.38E-02,1.92E-02,2.73E-02,1.77E-02,1.74E-02,1.47E-04,0.00E+00,0.00E+00,0.00E+00
SD r_O,2.95E+00,2.93E+00,2.13E+00,1.49E+00,1.85E+00,1.44E+00,7.01E-01,2.61E-01,8.42E-02,3.31E-02,1.81E-02,1.74E-02,1.47E-04,0.00E+00,0.00E+00,0.00E+00
SD r_T,2.95E+00,2.60E+00,1.47E+00,1.24E+00,1.06E+00,6.63E-01,3.07E-01,1.10E-01,3.28E-02,2.78E-02,1.77E-02,1.74E-02,1.47E-04,0.00E+00,0.00E+00,0.00E+00
