Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00,1.00E+01,1.10E+01,1.20E+01,1.30E+01,1.40E+01,1.50E+01
r_U,2.99E+00,2.53E+00,2.25E+00,1.98E+00,1.39E+00,6.34E-01,1.59E-01,2.43E-02,3.32E-03,7.83E-04,5.04E-04,3.47E-04,0.00E+00,0.00E+00,0.00E+00
r_O,2.99E+00,2.90E+00,2.93E+00,3.29E+00,3.66E+00,2.81E+00,9.92E-01,1.66E-01,2.05E-02,2.67E-03,6.62E-04,3.52E-04,0.00E+00,0.00E+00,0.00E+00
r_T,2.99E+00,2.60E+00,2.37E+00,2.23E+00,1.83E+00,1.08E+00,3.39E-01,5.51E-02,6.99E-03,1.14E-03,5.49E-04,3.48E-04,0.00E+00,0.00E+00,0.00E+00
SD r_U,1.61E+00,7.90E-01,4.34E-01,2.93E-01,3.32E-01,3.44E-01,1.93E-01,6.79E-02,1.87E-02,4.99E-03,1.07E-02,1.56E-02,0.00E+00,0.00E+00,0.00E+00
SD r_O,1.61E+00,9.13E-01,5.51E-01,4.08E-01,2.97E-01,7.13E-01,7.93E-01,3.41E-01,1.06E-01,2.26E-02,1.12E-02,1.56E-02,0.00E+00,0.00E+00,0.00E+00
SD r_T,1.61E+00,8.09E-01,4.50E-01,2.80E-01,2.69E-01,3.92E-01,3.10E-01,1.24E-01,3.63E-02,7.96E-03,1.08E-02,1.56E-02,0.00E+00,0.00E+00,0.00E+00
