Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00
r_U,9.12E+00,1.19E+01,3.53E+00,1.44E-01,1.00E-04,0.00E+00,0.00E+00,0.00E+00
r_O,9.12E+00,1.41E+01,8.87E+00,7.66E-01,5.39E-04,0.00E+00,0.00E+00,0.00E+00
r_T,9.12E+00,1.38E+01,8.19E+00,6.97E-01,4.94E-04,0.00E+00,0.00E+00,0.00E+00
SD r_U,8.29E+00,4.37E+00,1.68E+00,1.65E-01,7.70E-04,0.00E+00,0.00E+00,0.00E+00
SD r_O,8.29E+00,5.22E+00,2.48E+00,7.85E-01,4.24E-03,0.00E+00,0.00E+00,0.00E+00
SD r_T,8.29E+00,5.06E+00,2.35E+00,7.14E-01,3.87E-03,0.00E+00,0.00E+00,0.00E+00
