Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00,1.00E+01,1.10E+01,1.20E+01
r_U,4.97E+00,4.33E+00,3.63E+00,1.88E+00,3.43E-01,2.24E-02,1.61E-03,1.99E-04,6.51E-05,0.00E+00,0.00E+00,0.00E+00
r_O,4.97E+00,4.62E+00,5.08E+00,5.20E+00,1.85E+00,1.25E-01,7.41E-03,5.89E-04,7.78E-05,0.00E+00,0.00E+00,0.00E+00
r_T,4.97E+00,4.43E+00,4.13E+00,3.13E+00,9.71E-01,6.55E-02,3.94E-03,3.65E-04,7.21E-05,0.00E+00,0.00E+00,0.00E+00
SD r_U,2.19E+00,8.62E-01,4.21E-01,6.25E-01,3.57E-01,9.96E-02,2.67E-02,2.93E-03,2.85E-03,0.00E+00,0.00E+00,0.00E+00
SD r_O,2.19E+00,9.55E-01,5.54E-01,4.60E-01,1.13E+00,3.77E-01,1.04E-01,1.80E-02,2.93E-03,0.00E+00,0.00E+00,0.00E+00
SD r_T,2.19E+00,8.93E-01,3.95E-01,4.91E-01,6.40E-01,2.08E-01,5.66E-02,9.11E-03,2.88E-03,0.00E+00,0.00E+00,0.00E+00
