Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00
r_U,9.02E+00,6.27E+00,3.76E+00,5.00E-01,1.77E-03,0.00E+00,0.00E+00,0.00E+00
r_O,9.02E+00,7.24E+00,6.39E+00,2.63E+00,1.42E-02,0.00E+00,0.00E+00,0.00E+00
r_T,9.02E+00,7.08E+00,5.97E+00,2.37E+00,1.28E-02,0.00E+00,0.00E+00,0.00E+00
SD r_U,1.99E+00,7.33E-01,4.52E-01,2.09E-01,3.90E-03,0.00E+00,0.00E+00,0.00E+00
SD r_O,1.99E+00,7.12E-01,2.86E-01,6.85E-01,3.12E-02,0.00E+00,0.00E+00,0.00E+00
SD r_T,1.99E+00,7.12E-01,2.94E-01,6.19E-01,2.83E-02,0.00E+00,0.00E+00,0.00E+00
