r_U,4.05,3.27,2.8,2.12,0.929,0.162,0.01,0,0,0,0,0
r_O,4.05,3.79,3.83,4.29,3.62,1.05,0.077,0.003,0,0,0,0
r_T,4.05,3.41,3.07,2.7,1.71,0.443,0.032,0.001,0,0,0,0
SD r_U,1.74,0.771,0.371,0.341,0.391,0.178,0.037,0.005,0.001,0,0,0
SD r_O,1.74,0.87,0.492,0.33,0.619,0.781,0.206,0.036,0.003,0,0,0
SD r_T,1.74,0.79,0.391,0.266,0.423,0.353,0.089,0.015,0.002,0,0,0
