r_U,4.02,3.52,3.13,2.18,0.78,0.12,0.01,0,0,0,0,0,0
r_O,4.02,3.74,4.07,4.8,3.36,0.72,0.07,0.01,0,0,0,0,0
r_T,4.02,3.58,3.37,2.9,1.55,0.31,0.03,0,0,0,0,0,0
SD r_U,1.95,0.88,0.42,0.5,0.5,0.22,0.06,0.01,0,0.01,0,0,0
SD r_O,1.95,0.96,0.59,0.39,0.99,0.84,0.26,0.05,0.01,0.01,0,0,0
SD r_T,1.95,0.9,0.43,0.36,0.59,0.39,0.12,0.02,0.01,0.01,0,0,0
