Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00,1.00E+01,1.10E+01,1.20E+01,1.30E+01
S,4.99E+02,4.95E+02,4.79E+02,4.19E+02,2.59E+02,6.38E+01,4.53E+00,2.82E-01,1.12E-01,1.04E-01,1.04E-01,1.04E-01,1.04E-01
I,1.00E+00,5.05E+00,2.15E+01,7.99E+01,2.36E+02,4.15E+02,4.15E+02,2.58E+02,6.37E+01,4.43E+00,1.78E-01,8.00E-03,0.00E+00
R,0.00E+00,0.00E+00,0.00E+00,1.00E+00,5.05E+00,2.15E+01,8.09E+01,2.41E+02,4.36E+02,4.95E+02,5.00E+02,5.00E+02,5.00E+02
SD_S,0.00E+00,1.74E+00,7.96E+00,2.88E+01,6.58E+01,5.28E+01,1.48E+01,7.36E+00,7.06E+00,7.06E+00,7.06E+00,7.06E+00,7.06E+00
SD_I,0.00E+00,1.74E+00,7.96E+00,2.88E+01,6.44E+01,4.65E+01,2.62E+01,6.55E+01,5.24E+01,1.30E+01,2.11E+00,1.44E-01,0.00E+00
SD_R,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E+00,7.96E+00,2.88E+01,6.58E+01,5.28E+01,1.48E+01,7.36E+00,7.06E+00,7.06E+00
