Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00,8.00E+00,9.00E+00,1.00E+01
r_U,9.03E+00,6.26E+00,3.76E+00,4.98E-01,1.71E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
r_O,9.03E+00,7.23E+00,6.39E+00,2.63E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
r_T,9.03E+00,7.07E+00,5.97E+00,2.36E+00,1.24E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SD r_U,2.04E+00,7.34E-01,4.59E-01,2.05E-01,3.76E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SD r_O,2.04E+00,7.06E-01,2.84E-01,6.78E-01,3.06E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SD r_T,2.04E+00,7.06E-01,2.92E-01,6.12E-01,2.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
