Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00,7.00E+00
r_U,9.01E+00,8.18E+00,4.32E+00,4.51E-01,5.04E-03,1.15E-06,0.00E+00
r_O,9.01E+00,8.86E+00,7.99E+00,2.48E+00,2.20E-02,5.75E-06,0.00E+00
r_T,9.01E+00,8.74E+00,7.44E+00,2.24E+00,1.99E-02,4.60E-06,0.00E+00
SD r_U,2.85E+00,9.55E-01,9.22E-01,3.30E-01,1.64E-02,8.13E-05,0.00E+00
SD r_O,2.85E+00,1.00E+00,4.73E-01,1.13E+00,9.73E-02,4.06E-04,0.00E+00
SD r_T,2.85E+00,9.88E-01,5.10E-01,1.03E+00,8.84E-02,3.25E-04,0.00E+00
