Time,1.00E+00,2.00E+00,3.00E+00,4.00E+00,5.00E+00,6.00E+00
r_U,9.03E+00,6.94E+00,4.37E+00,6.46E-01,4.83E-03,0.00E+00
r_O,9.03E+00,7.96E+00,7.33E+00,3.30E+00,3.53E-02,0.00E+00
r_T,9.03E+00,7.78E+00,6.86E+00,2.98E+00,3.17E-02,0.00E+00
SD r_U,2.04E+00,8.53E-01,5.60E-01,2.56E-01,8.43E-03,0.00E+00
SD r_O,2.04E+00,7.96E-01,3.42E-01,7.93E-01,6.38E-02,0.00E+00
SD r_T,2.04E+00,8.01E-01,3.60E-01,7.17E-01,5.73E-02,0.00E+00
