Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
r_U,2.9866,2.79973,2.62311,2.38541,1.8899,1.2083,0.63402,0.3302,0.21428,0.1594,0.09492,0.03904,0.01071,0.00166,0.00112,0.0002,0
r_O,2.9866,2.89566,2.97331,3.30897,3.64252,3.22927,1.95777,0.88138,0.3834,0.20136,0.10382,0.04046,0.01092,0.00166,0.00116,0.0002,0
r_T,2.9866,2.8159,2.68351,2.55357,2.21657,1.59837,0.8918,0.43653,0.24625,0.16731,0.09652,0.0393,0.01073,0.00166,0.00112,0.0002,0
SD r_U,1.73978,1.24884,0.94586,0.76511,0.67446,0.61122,0.45212,0.27247,0.17949,0.23675,0.25084,0.18331,0.1067,0.0362,0.03835,0.01414,0
SD r_O,1.73978,1.29006,1.06297,1.03685,1.05025,1.06132,1.11671,0.83613,0.47193,0.32078,0.26951,0.18681,0.10737,0.0362,0.03907,0.01414,0
SD r_T,1.73978,1.25673,0.96288,0.79443,0.69377,0.66266,0.56878,0.37782,0.22904,0.2479,0.2531,0.18408,0.10674,0.0362,0.03835,0.01414,0
