Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
r_U,2.9924,2.53365,2.24786,1.94633,1.3534,0.60231,0.14338,0.01888,0.00184,0.00017,0.00001,0,0,0,0,0,0
r_O,2.9924,2.90087,2.9282,3.25513,3.59219,2.72356,0.92121,0.13875,0.01398,0.00127,0.00007,0.00001,0,0,0,0,0
r_T,2.9924,2.59702,2.37167,2.1857,1.78166,1.03771,0.31217,0.04527,0.00459,0.00041,0.00003,0,0,0,0,0,0
SD r_U,1.60908,0.7904,0.43355,0.27022,0.31911,0.33144,0.17835,0.05562,0.01248,0.0018,0.00023,0.00011,0,0,0,0,0
SD r_O,1.60908,0.91345,0.55054,0.40779,0.28953,0.71185,0.76159,0.30219,0.07971,0.01481,0.00134,0.00045,0,0,0,0,0
SD r_T,1.60908,0.80922,0.4501,0.26064,0.25825,0.38315,0.29288,0.10634,0.02724,0.00463,0.00049,0.00011,0,0,0,0,0
