Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
r_U,2.9924,2.5336,2.2479,1.985,1.3926,0.6335,0.1591,0.0243,0.0033,0.0008,0.0005,0.0003,0,0,0
r_O,2.9924,2.9009,2.9282,3.2942,3.6565,2.8091,0.9919,0.1664,0.0205,0.0027,0.0007,0.0004,0,0,0
r_T,2.9924,2.597,2.3717,2.2264,1.8251,1.0782,0.3392,0.0551,0.007,0.0011,0.0005,0.0003,0,0,0
SD r_U,1.6091,0.7904,0.4336,0.293,0.3325,0.3436,0.193,0.0679,0.0187,0.005,0.0107,0.0156,0,0,0
SD r_O,1.6091,0.9134,0.5505,0.408,0.2972,0.713,0.7928,0.3413,0.1059,0.0226,0.0112,0.0156,0,0,0
SD r_T,1.6091,0.8092,0.4501,0.2799,0.2693,0.3917,0.3103,0.1239,0.0363,0.008,0.0108,0.0156,0,0,0
