Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
r_U,2.99,2.67,2.47,2.14,1.35,0.518,0.124,0.025,0.006,0.002,0.001,0,0,0,0
r_O,2.99,2.8,2.99,3.63,3.95,2.43,0.695,0.132,0.025,0.005,0.001,0,0,0,0
r_T,2.99,2.69,2.56,2.42,1.86,0.919,0.247,0.048,0.01,0.003,0.001,0,0,0,0
SD r_U,1.74,0.885,0.471,0.389,0.466,0.413,0.223,0.095,0.029,0.009,0.015,0.005,0,0,0
SD r_O,1.74,0.939,0.607,0.527,0.406,1.01,0.822,0.387,0.159,0.032,0.016,0.005,0,0,0
SD r_T,1.74,0.895,0.488,0.345,0.387,0.503,0.337,0.153,0.057,0.013,0.015,0.005,0,0,0
